Order,Stimulus,Word Type,Block,AudioFile,Item,Type
0,科學,word,dummy,科學.wav,dummy,1
0,葵娠,nonword,dummy,葵娠.wav,dummy,0
0,商人,word,dummy,商人.wav,dummy,1
1,寂寞,word,trial,寂寞.wav,word1,1
3,卑鄙,word,trial,卑鄙.wav,word2,1
4,蹉跎,word,trial,蹉跎.wav,word3,1
5,賄賂,word,trial,賄賂.wav,word4,1
7,襁褓,word,trial,襁褓.wav,word5,1
8,俸祿,word,trial,俸祿.wav,word6,1
10,烹飪,word,trial,烹飪.wav,word7,1
12,熟悉,word,trial,熟悉.wav,word8,1
13,憧憬,word,trial,憧憬.wav,word9,1
14,脂肪,word,trial,脂肪.wav,word10,1
20,嘮叨,word,trial,嘮叨.wav,word11,1
23,囫圇,word,trial,囫圇.wav,word12,1
24,猙獰,word,trial,猙獰.wav,word13,1
25,恍惚,word,trial,恍惚.wav,word14,1
26,羨慕,word,trial,羨慕.wav,word15,1
27,傀儡,word,trial,傀儡.wav,word16,1
28,驕傲,word,trial,驕傲.wav,word17,1
29,褻瀆,word,trial,褻瀆.wav,word18,1
32,淘汰,word,trial,淘汰.wav,word19,1
34,蹂躪,word,trial,蹂躪.wav,word20,1
35,癱瘓,word,trial,癱瘓.wav,word21,1
37,祈禱,word,trial,祈禱.wav,word22,1
38,惆悵,word,trial,惆悵.wav,word23,1
41,喉嚨,word,trial,喉嚨.wav,word24,1
42,朦朧,word,trial,朦朧.wav,word25,1
43,痊癒,word,trial,痊癒.wav,word26,1
44,憤怒,word,trial,憤怒.wav,word27,1
45,邋遢,word,trial,邋遢.wav,word28,1
46,瑕疵,word,trial,瑕疵.wav,word29,1
47,漣漪,word,trial,漣漪.wav,word30,1
48,慷慨,word,trial,慷慨.wav,word31,1
50,匍匐,word,trial,匍匐.wav,word32,1
51,滂沱,word,trial,滂沱.wav,word33,1
52,咳嗽,word,trial,咳嗽.wav,word34,1
53,徘徊,word,trial,徘徊.wav,word35,1
54,瘟疫,word,trial,瘟疫.wav,word36,1
56,吩咐,word,trial,吩咐.wav,word37,1
58,掌握,word,trial,掌握.wav,word38,1
59,璀璨,word,trial,璀璨.wav,word39,1
60,問題,word,trial,問題.wav,word40,1
2,漆蝠,nonword,trial,漆蝠.wav,nonword1,0
6,磷祥,nonword,trial,磷祥.wav,nonword2,0
9,蟬稅,nonword,trial,蟬稅.wav,nonword3,0
11,鹹裕,nonword,trial,鹹裕.wav,nonword4,0
15,銼洽,nonword,trial,銼洽.wav,nonword5,0
16,氛椒,nonword,trial,氛椒.wav,nonword6,0
17,抒泵,nonword,trial,抒泵.wav,nonword7,0
18,裳妊,nonword,trial,裳妊.wav,nonword8,0
19,契砣,nonword,trial,契砣.wav,nonword9,0
21,癡策,nonword,trial,癡策.wav,nonword10,0
22,抹峨,nonword,trial,抹峨.wav,nonword11,0
30,糖描,nonword,trial,糖描.wav,nonword12,0
31,頒昧,nonword,trial,頒昧.wav,nonword13,0
33,涵淺,nonword,trial,涵淺.wav,nonword14,0
36,亦筷,nonword,trial,亦筷.wav,nonword15,0
39,繽摹,nonword,trial,繽摹.wav,nonword16,0
40,詮瘡,nonword,trial,詮瘡.wav,nonword17,0
49,巔妾,nonword,trial,巔妾.wav,nonword18,0
55,晴榻,nonword,trial,晴榻.wav,nonword19,0
57,寰港,nonword,trial,寰港.wav,nonword20,0
